创建为新数据集,样品 075 用户 Administrator 日期 星期六, 七月 21 2018
cm-1,%T
10000.00,1.47
9999.00,1.47
9998.00,1.47
9997.00,1.47
9996.00,1.47
9995.00,1.47
9994.00,1.46
9993.00,1.46
9992.00,1.46
9991.00,1.46
9990.00,1.46
9989.00,1.46
9988.00,1.46
9987.00,1.46
9986.00,1.46
9985.00,1.46
9984.00,1.46
9983.00,1.46
9982.00,1.46
9981.00,1.46
9980.00,1.45
9979.00,1.45
9978.00,1.45
9977.00,1.45
9976.00,1.44
9975.00,1.44
9974.00,1.44
9973.00,1.44
9972.00,1.43
9971.00,1.43
9970.00,1.43
9969.00,1.43
9968.00,1.44
9967.00,1.44
9966.00,1.44
9965.00,1.44
9964.00,1.45
9963.00,1.45
9962.00,1.45
9961.00,1.46
9960.00,1.46
9959.00,1.46
9958.00,1.46
9957.00,1.46
9956.00,1.46
9955.00,1.47
9954.00,1.46
9953.00,1.46
9952.00,1.46
9951.00,1.46
9950.00,1.46
9949.00,1.46
9948.00,1.46
9947.00,1.46
9946.00,1.46
9945.00,1.46
9944.00,1.46
9943.00,1.46
9942.00,1.46
9941.00,1.46
9940.00,1.46
9939.00,1.46
9938.00,1.47
9937.00,1.47
9936.00,1.47
9935.00,1.47
9934.00,1.47
9933.00,1.46
9932.00,1.46
9931.00,1.46
9930.00,1.46
9929.00,1.46
9928.00,1.45
9927.00,1.45
9926.00,1.45
9925.00,1.44
9924.00,1.44
9923.00,1.44
9922.00,1.44
9921.00,1.43
9920.00,1.43
9919.00,1.43
9918.00,1.43
9917.00,1.44
9916.00,1.44
9915.00,1.44
9914.00,1.44
9913.00,1.45
9912.00,1.45
9911.00,1.45
9910.00,1.46
9909.00,1.46
9908.00,1.46
9907.00,1.46
9906.00,1.46
9905.00,1.46
9904.00,1.46
9903.00,1.46
9902.00,1.46
9901.00,1.46
9900.00,1.45
9899.00,1.45
9898.00,1.45
9897.00,1.44
9896.00,1.44
9895.00,1.43
9894.00,1.43
9893.00,1.42
9892.00,1.42
9891.00,1.41
9890.00,1.41
9889.00,1.41
9888.00,1.41
9887.00,1.40
9886.00,1.40
9885.00,1.40
9884.00,1.40
9883.00,1.40
9882.00,1.40
9881.00,1.40
9880.00,1.40
9879.00,1.40
9878.00,1.40
9877.00,1.41
9876.00,1.41
9875.00,1.41
9874.00,1.41
9873.00,1.41
9872.00,1.42
9871.00,1.42
9870.00,1.42
9869.00,1.42
9868.00,1.42
9867.00,1.42
9866.00,1.42
9865.00,1.42
9864.00,1.43
9863.00,1.43
9862.00,1.43
9861.00,1.43
9860.00,1.43
9859.00,1.43
9858.00,1.43
9857.00,1.43
9856.00,1.43
9855.00,1.43
9854.00,1.43
9853.00,1.42
9852.00,1.42
9851.00,1.42
9850.00,1.42
9849.00,1.42
9848.00,1.42
9847.00,1.42
9846.00,1.42
9845.00,1.42
9844.00,1.42
9843.00,1.42
9842.00,1.41
9841.00,1.41
9840.00,1.41
9839.00,1.41
9838.00,1.41
9837.00,1.42
9836.00,1.42
9835.00,1.42
9834.00,1.42
9833.00,1.42
9832.00,1.42
9831.00,1.42
9830.00,1.42
9829.00,1.42
9828.00,1.43
9827.00,1.43
9826.00,1.43
9825.00,1.43
9824.00,1.43
9823.00,1.44
9822.00,1.44
9821.00,1.44
9820.00,1.44
9819.00,1.45
9818.00,1.45
9817.00,1.45
9816.00,1.45
9815.00,1.46
9814.00,1.46
9813.00,1.46
9812.00,1.46
9811.00,1.46
9810.00,1.46
9809.00,1.46
9808.00,1.46
9807.00,1.46
9806.00,1.46
9805.00,1.46
9804.00,1.46
9803.00,1.46
9802.00,1.46
9801.00,1.46
9800.00,1.45
9799.00,1.45
9798.00,1.45
9797.00,1.45
9796.00,1.45
9795.00,1.44
9794.00,1.44
9793.00,1.44
9792.00,1.44
9791.00,1.44
9790.00,1.44
9789.00,1.43
9788.00,1.43
9787.00,1.43
9786.00,1.43
9785.00,1.43
9784.00,1.43
9783.00,1.44
9782.00,1.44
9781.00,1.44
9780.00,1.44
9779.00,1.44
9778.00,1.45
9777.00,1.45
9776.00,1.45
9775.00,1.45
9774.00,1.46
9773.00,1.46
9772.00,1.46
9771.00,1.46
9770.00,1.47
9769.00,1.47
9768.00,1.47
9767.00,1.47
9766.00,1.47
9765.00,1.47
9764.00,1.47
9763.00,1.46
9762.00,1.46
9761.00,1.46
9760.00,1.46
9759.00,1.46
9758.00,1.46
9757.00,1.46
9756.00,1.46
9755.00,1.46
9754.00,1.45
9753.00,1.45
9752.00,1.45
9751.00,1.45
9750.00,1.45
9749.00,1.45
9748.00,1.45
9747.00,1.45
9746.00,1.45
9745.00,1.45
9744.00,1.45
9743.00,1.45
9742.00,1.45
9741.00,1.45
9740.00,1.45
9739.00,1.45
9738.00,1.45
9737.00,1.45
9736.00,1.45
9735.00,1.46
9734.00,1.46
9733.00,1.46
9732.00,1.46
9731.00,1.46
9730.00,1.46
9729.00,1.47
9728.00,1.47
9727.00,1.46
9726.00,1.46
9725.00,1.46
9724.00,1.46
9723.00,1.46
9722.00,1.45
9721.00,1.45
9720.00,1.45
9719.00,1.44
9718.00,1.44
9717.00,1.44
9716.00,1.43
9715.00,1.43
9714.00,1.42
9713.00,1.42
9712.00,1.42
9711.00,1.42
9710.00,1.42
9709.00,1.41
9708.00,1.41
9707.00,1.41
9706.00,1.41
9705.00,1.41
9704.00,1.42
9703.00,1.42
9702.00,1.42
9701.00,1.42
9700.00,1.43
9699.00,1.43
9698.00,1.43
9697.00,1.43
9696.00,1.44
9695.00,1.44
9694.00,1.45
9693.00,1.45
9692.00,1.45
9691.00,1.45
9690.00,1.46
9689.00,1.46
9688.00,1.46
9687.00,1.46
9686.00,1.46
9685.00,1.46
9684.00,1.46
9683.00,1.46
9682.00,1.46
9681.00,1.46
9680.00,1.46
9679.00,1.46
9678.00,1.46
9677.00,1.46
9676.00,1.45
9675.00,1.45
9674.00,1.45
9673.00,1.45
9672.00,1.45
9671.00,1.45
9670.00,1.45
9669.00,1.45
9668.00,1.45
9667.00,1.45
9666.00,1.45
9665.00,1.45
9664.00,1.45
9663.00,1.45
9662.00,1.45
9661.00,1.45
9660.00,1.45
9659.00,1.45
9658.00,1.45
9657.00,1.45
9656.00,1.45
9655.00,1.45
9654.00,1.45
9653.00,1.45
9652.00,1.45
9651.00,1.45
9650.00,1.45
9649.00,1.45
9648.00,1.45
9647.00,1.45
9646.00,1.44
9645.00,1.44
9644.00,1.44
9643.00,1.44
9642.00,1.43
9641.00,1.43
9640.00,1.43
9639.00,1.42
9638.00,1.42
9637.00,1.42
9636.00,1.42
9635.00,1.41
9634.00,1.41
9633.00,1.41
9632.00,1.41
9631.00,1.41
9630.00,1.41
9629.00,1.41
9628.00,1.42
9627.00,1.42
9626.00,1.42
9625.00,1.42
9624.00,1.43
9623.00,1.43
9622.00,1.43
9621.00,1.44
9620.00,1.44
9619.00,1.44
9618.00,1.44
9617.00,1.45
9616.00,1.45
9615.00,1.45
9614.00,1.45
9613.00,1.45
9612.00,1.45
9611.00,1.45
9610.00,1.45
9609.00,1.45
9608.00,1.45
9607.00,1.44
9606.00,1.44
9605.00,1.44
9604.00,1.44
9603.00,1.44
9602.00,1.44
9601.00,1.44
9600.00,1.43
9599.00,1.43
9598.00,1.43
9597.00,1.42
9596.00,1.42
9595.00,1.42
9594.00,1.42
9593.00,1.41
9592.00,1.41
9591.00,1.41
9590.00,1.40
9589.00,1.40
9588.00,1.40
9587.00,1.40
9586.00,1.40
9585.00,1.39
9584.00,1.39
9583.00,1.39
9582.00,1.39
9581.00,1.39
9580.00,1.40
9579.00,1.40
9578.00,1.40
9577.00,1.40
9576.00,1.40
9575.00,1.40
9574.00,1.40
9573.00,1.40
9572.00,1.41
9571.00,1.41
9570.00,1.41
9569.00,1.41
9568.00,1.41
9567.00,1.41
9566.00,1.41
9565.00,1.41
9564.00,1.41
9563.00,1.42
9562.00,1.42
9561.00,1.42
9560.00,1.42
9559.00,1.42
9558.00,1.42
9557.00,1.42
9556.00,1.42
9555.00,1.42
9554.00,1.42
9553.00,1.42
9552.00,1.42
9551.00,1.42
9550.00,1.42
9549.00,1.42
9548.00,1.42
9547.00,1.43
9546.00,1.43
9545.00,1.43
9544.00,1.43
9543.00,1.43
9542.00,1.43
9541.00,1.43
9540.00,1.43
9539.00,1.43
9538.00,1.43
9537.00,1.43
9536.00,1.43
9535.00,1.43
9534.00,1.43
9533.00,1.43
9532.00,1.43
9531.00,1.43
9530.00,1.43
9529.00,1.43
9528.00,1.43
9527.00,1.43
9526.00,1.43
9525.00,1.43
9524.00,1.43
9523.00,1.43
9522.00,1.43
9521.00,1.43
9520.00,1.43
9519.00,1.44
9518.00,1.44
9517.00,1.44
9516.00,1.44
9515.00,1.44
9514.00,1.45
9513.00,1.45
9512.00,1.45
9511.00,1.45
9510.00,1.45
9509.00,1.45
9508.00,1.45
9507.00,1.45
9506.00,1.45
9505.00,1.45
9504.00,1.44
9503.00,1.44
9502.00,1.44
9501.00,1.44
9500.00,1.44
9499.00,1.43
9498.00,1.43
9497.00,1.43
9496.00,1.43
9495.00,1.43
9494.00,1.42
9493.00,1.42
9492.00,1.42
9491.00,1.42
9490.00,1.42
9489.00,1.42
9488.00,1.42
9487.00,1.42
9486.00,1.42
9485.00,1.42
9484.00,1.42
9483.00,1.42
9482.00,1.42
9481.00,1.43
9480.00,1.43
9479.00,1.43
9478.00,1.43
9477.00,1.43
9476.00,1.43
9475.00,1.43
9474.00,1.43
9473.00,1.43
9472.00,1.43
9471.00,1.43
9470.00,1.43
9469.00,1.43
9468.00,1.43
9467.00,1.43
9466.00,1.43
9465.00,1.43
9464.00,1.43
9463.00,1.43
9462.00,1.43
9461.00,1.43
9460.00,1.43
9459.00,1.43
9458.00,1.43
9457.00,1.44
9456.00,1.44
9455.00,1.44
9454.00,1.44
9453.00,1.44
9452.00,1.44
9451.00,1.44
9450.00,1.44
9449.00,1.44
9448.00,1.44
9447.00,1.45
9446.00,1.45
9445.00,1.45
9444.00,1.45
9443.00,1.45
9442.00,1.45
9441.00,1.45
9440.00,1.45
9439.00,1.45
9438.00,1.45
9437.00,1.45
9436.00,1.45
9435.00,1.45
9434.00,1.45
9433.00,1.45
9432.00,1.45
9431.00,1.45
9430.00,1.45
9429.00,1.45
9428.00,1.45
9427.00,1.45
9426.00,1.45
9425.00,1.45
9424.00,1.45
9423.00,1.45
9422.00,1.45
9421.00,1.45
9420.00,1.46
9419.00,1.46
9418.00,1.46
9417.00,1.46
9416.00,1.46
9415.00,1.46
9414.00,1.46
9413.00,1.47
9412.00,1.47
9411.00,1.47
9410.00,1.47
9409.00,1.47
9408.00,1.47
9407.00,1.47
9406.00,1.46
9405.00,1.46
9404.00,1.46
9403.00,1.46
9402.00,1.46
9401.00,1.45
9400.00,1.45
9399.00,1.45
9398.00,1.44
9397.00,1.44
9396.00,1.43
9395.00,1.43
9394.00,1.43
9393.00,1.43
9392.00,1.42
9391.00,1.42
9390.00,1.42
9389.00,1.42
9388.00,1.42
9387.00,1.42
9386.00,1.42
9385.00,1.42
9384.00,1.42
9383.00,1.42
9382.00,1.43
9381.00,1.43
9380.00,1.43
9379.00,1.43
9378.00,1.43
9377.00,1.43
9376.00,1.43
9375.00,1.43
9374.00,1.43
9373.00,1.43
9372.00,1.43
9371.00,1.43
9370.00,1.42
9369.00,1.42
9368.00,1.42
9367.00,1.42
9366.00,1.41
9365.00,1.41
9364.00,1.41
9363.00,1.41
9362.00,1.41
9361.00,1.41
9360.00,1.40
9359.00,1.40
9358.00,1.40
9357.00,1.40
9356.00,1.40
9355.00,1.40
9354.00,1.40
9353.00,1.40
9352.00,1.41
9351.00,1.41
9350.00,1.41
9349.00,1.41
9348.00,1.41
9347.00,1.41
9346.00,1.41
9345.00,1.41
9344.00,1.41
9343.00,1.42
9342.00,1.42
9341.00,1.42
9340.00,1.42
9339.00,1.42
9338.00,1.42
9337.00,1.43
9336.00,1.43
9335.00,1.43
9334.00,1.43
9333.00,1.43
9332.00,1.43
9331.00,1.44
9330.00,1.44
9329.00,1.44
9328.00,1.44
9327.00,1.44
9326.00,1.44
9325.00,1.43
9324.00,1.43
9323.00,1.43
9322.00,1.43
9321.00,1.43
9320.00,1.43
9319.00,1.43
9318.00,1.43
9317.00,1.42
9316.00,1.42
9315.00,1.42
9314.00,1.42
9313.00,1.42
9312.00,1.42
9311.00,1.42
9310.00,1.42
9309.00,1.42
9308.00,1.42
9307.00,1.42
9306.00,1.42
9305.00,1.42
9304.00,1.42
9303.00,1.42
9302.00,1.42
9301.00,1.42
9300.00,1.41
9299.00,1.41
9298.00,1.41
9297.00,1.41
9296.00,1.41
9295.00,1.41
9294.00,1.41
9293.00,1.41
9292.00,1.41
9291.00,1.41
9290.00,1.41
9289.00,1.41
9288.00,1.41
9287.00,1.41
9286.00,1.41
9285.00,1.41
9284.00,1.41
9283.00,1.41
9282.00,1.41
9281.00,1.41
9280.00,1.41
9279.00,1.41
9278.00,1.41
9277.00,1.41
9276.00,1.41
9275.00,1.41
9274.00,1.41
9273.00,1.41
9272.00,1.41
9271.00,1.41
9270.00,1.41
9269.00,1.41
9268.00,1.41
9267.00,1.41
9266.00,1.41
9265.00,1.41
9264.00,1.41
9263.00,1.42
9262.00,1.42
9261.00,1.42
9260.00,1.42
9259.00,1.42
9258.00,1.42
9257.00,1.42
9256.00,1.42
9255.00,1.42
9254.00,1.42
9253.00,1.42
9252.00,1.42
9251.00,1.42
9250.00,1.42
9249.00,1.42
9248.00,1.42
9247.00,1.42
9246.00,1.42
9245.00,1.42
9244.00,1.42
9243.00,1.42
9242.00,1.42
9241.00,1.43
9240.00,1.43
9239.00,1.43
9238.00,1.43
9237.00,1.43
9236.00,1.43
9235.00,1.43
9234.00,1.43
9233.00,1.43
9232.00,1.43
9231.00,1.43
9230.00,1.43
9229.00,1.43
9228.00,1.43
9227.00,1.43
9226.00,1.43
9225.00,1.43
9224.00,1.43
9223.00,1.43
9222.00,1.43
9221.00,1.43
9220.00,1.43
9219.00,1.43
9218.00,1.43
9217.00,1.42
9216.00,1.42
9215.00,1.42
9214.00,1.42
9213.00,1.42
9212.00,1.42
9211.00,1.41
9210.00,1.41
9209.00,1.41
9208.00,1.41
9207.00,1.41
9206.00,1.41
9205.00,1.41
9204.00,1.41
9203.00,1.41
9202.00,1.41
9201.00,1.41
9200.00,1.41
9199.00,1.41
9198.00,1.42
9197.00,1.42
9196.00,1.42
9195.00,1.42
9194.00,1.42
9193.00,1.41
9192.00,1.41
9191.00,1.41
9190.00,1.41
9189.00,1.41
9188.00,1.41
9187.00,1.41
9186.00,1.41
9185.00,1.41
9184.00,1.41
9183.00,1.41
9182.00,1.41
9181.00,1.41
9180.00,1.41
9179.00,1.41
9178.00,1.41
9177.00,1.41
9176.00,1.41
9175.00,1.41
9174.00,1.41
9173.00,1.41
9172.00,1.41
9171.00,1.41
9170.00,1.42
9169.00,1.42
9168.00,1.42
9167.00,1.42
9166.00,1.42
9165.00,1.42
9164.00,1.42
9163.00,1.42
9162.00,1.42
9161.00,1.42
9160.00,1.42
9159.00,1.42
9158.00,1.42
9157.00,1.42
9156.00,1.42
9155.00,1.43
9154.00,1.43
9153.00,1.43
9152.00,1.43
9151.00,1.43
9150.00,1.43
9149.00,1.43
9148.00,1.43
9147.00,1.43
9146.00,1.43
9145.00,1.43
9144.00,1.43
9143.00,1.43
9142.00,1.43
9141.00,1.43
9140.00,1.42
9139.00,1.42
9138.00,1.42
9137.00,1.42
9136.00,1.42
9135.00,1.42
9134.00,1.42
9133.00,1.42
9132.00,1.42
9131.00,1.42
9130.00,1.42
9129.00,1.42
9128.00,1.42
9127.00,1.42
9126.00,1.42
9125.00,1.42
9124.00,1.42
9123.00,1.42
9122.00,1.43
9121.00,1.43
9120.00,1.43
9119.00,1.43
9118.00,1.43
9117.00,1.43
9116.00,1.43
9115.00,1.43
9114.00,1.43
9113.00,1.44
9112.00,1.44
9111.00,1.44
9110.00,1.44
9109.00,1.44
9108.00,1.44
9107.00,1.44
9106.00,1.44
9105.00,1.44
9104.00,1.44
9103.00,1.44
9102.00,1.44
9101.00,1.44
9100.00,1.44
9099.00,1.44
9098.00,1.44
9097.00,1.44
9096.00,1.44
9095.00,1.45
9094.00,1.45
9093.00,1.45
9092.00,1.45
9091.00,1.45
9090.00,1.45
9089.00,1.45
9088.00,1.45
9087.00,1.45
9086.00,1.45
9085.00,1.45
9084.00,1.45
9083.00,1.46
9082.00,1.46
9081.00,1.46
9080.00,1.46
9079.00,1.46
9078.00,1.46
9077.00,1.46
9076.00,1.46
9075.00,1.46
9074.00,1.46
9073.00,1.46
9072.00,1.46
9071.00,1.46
9070.00,1.46
9069.00,1.46
9068.00,1.46
9067.00,1.45
9066.00,1.45
9065.00,1.45
9064.00,1.45
9063.00,1.45
9062.00,1.45
9061.00,1.44
9060.00,1.44
9059.00,1.44
9058.00,1.44
9057.00,1.44
9056.00,1.44
9055.00,1.44
9054.00,1.44
9053.00,1.44
9052.00,1.44
9051.00,1.44
9050.00,1.44
9049.00,1.44
9048.00,1.44
9047.00,1.44
9046.00,1.44
9045.00,1.44
9044.00,1.45
9043.00,1.45
9042.00,1.45
9041.00,1.45
9040.00,1.45
9039.00,1.45
9038.00,1.45
9037.00,1.45
9036.00,1.45
9035.00,1.45
9034.00,1.45
9033.00,1.45
9032.00,1.45
9031.00,1.45
9030.00,1.45
9029.00,1.45
9028.00,1.45
9027.00,1.45
9026.00,1.45
9025.00,1.45
9024.00,1.45
9023.00,1.45
9022.00,1.45
9021.00,1.45
9020.00,1.45
9019.00,1.45
9018.00,1.45
9017.00,1.45
9016.00,1.45
9015.00,1.45
9014.00,1.45
9013.00,1.45
9012.00,1.45
9011.00,1.45
9010.00,1.45
9009.00,1.45
9008.00,1.45
9007.00,1.45
9006.00,1.45
9005.00,1.45
9004.00,1.45
9003.00,1.45
9002.00,1.45
9001.00,1.45
9000.00,1.45
8999.00,1.45
8998.00,1.45
8997.00,1.45
8996.00,1.45
8995.00,1.45
8994.00,1.45
8993.00,1.45
8992.00,1.45
8991.00,1.45
8990.00,1.45
8989.00,1.45
8988.00,1.45
8987.00,1.45
8986.00,1.45
8985.00,1.45
8984.00,1.45
8983.00,1.45
8982.00,1.45
8981.00,1.45
8980.00,1.45
8979.00,1.45
8978.00,1.45
8977.00,1.45
8976.00,1.45
8975.00,1.45
8974.00,1.45
8973.00,1.45
8972.00,1.44
8971.00,1.44
8970.00,1.44
8969.00,1.44
8968.00,1.44
8967.00,1.45
8966.00,1.45
8965.00,1.45
8964.00,1.45
8963.00,1.45
8962.00,1.45
8961.00,1.45
8960.00,1.45
8959.00,1.45
8958.00,1.46
8957.00,1.46
8956.00,1.46
8955.00,1.46
8954.00,1.46
8953.00,1.46
8952.00,1.46
8951.00,1.46
8950.00,1.47
8949.00,1.47
8948.00,1.47
8947.00,1.47
8946.00,1.47
8945.00,1.47
8944.00,1.47
8943.00,1.47
8942.00,1.47
8941.00,1.47
8940.00,1.47
8939.00,1.47
8938.00,1.47
8937.00,1.47
8936.00,1.47
8935.00,1.47
8934.00,1.47
8933.00,1.47
8932.00,1.47
8931.00,1.47
8930.00,1.47
8929.00,1.47
8928.00,1.47
8927.00,1.47
8926.00,1.47
8925.00,1.47
8924.00,1.47
8923.00,1.47
8922.00,1.47
8921.00,1.47
8920.00,1.46
8919.00,1.46
8918.00,1.46
8917.00,1.46
8916.00,1.46
8915.00,1.46
8914.00,1.46
8913.00,1.46
8912.00,1.46
8911.00,1.46
8910.00,1.46
8909.00,1.46
8908.00,1.46
8907.00,1.46
8906.00,1.46
8905.00,1.46
8904.00,1.46
8903.00,1.46
8902.00,1.46
8901.00,1.46
8900.00,1.46
8899.00,1.46
8898.00,1.46
8897.00,1.46
8896.00,1.45
8895.00,1.45
8894.00,1.45
8893.00,1.45
8892.00,1.45
8891.00,1.45
8890.00,1.45
8889.00,1.45
8888.00,1.45
8887.00,1.45
8886.00,1.45
8885.00,1.46
8884.00,1.46
8883.00,1.46
8882.00,1.46
8881.00,1.46
8880.00,1.46
8879.00,1.46
8878.00,1.46
8877.00,1.46
8876.00,1.46
8875.00,1.46
8874.00,1.45
8873.00,1.45
8872.00,1.45
8871.00,1.45
8870.00,1.45
8869.00,1.45
8868.00,1.44
8867.00,1.44
8866.00,1.44
8865.00,1.44
8864.00,1.44
8863.00,1.43
8862.00,1.43
8861.00,1.43
8860.00,1.43
8859.00,1.43
8858.00,1.43
8857.00,1.43
8856.00,1.43
8855.00,1.43
8854.00,1.43
8853.00,1.43
8852.00,1.43
8851.00,1.43
8850.00,1.43
8849.00,1.43
8848.00,1.43
8847.00,1.43
8846.00,1.43
8845.00,1.43
8844.00,1.43
8843.00,1.43
8842.00,1.43
8841.00,1.43
8840.00,1.43
8839.00,1.43
8838.00,1.43
8837.00,1.43
8836.00,1.43
8835.00,1.43
8834.00,1.43
8833.00,1.43
8832.00,1.43
8831.00,1.43
8830.00,1.43
8829.00,1.43
8828.00,1.43
8827.00,1.43
8826.00,1.43
8825.00,1.43
8824.00,1.43
8823.00,1.43
8822.00,1.43
8821.00,1.43
8820.00,1.43
8819.00,1.43
8818.00,1.43
8817.00,1.43
8816.00,1.43
8815.00,1.43
8814.00,1.43
8813.00,1.42
8812.00,1.42
8811.00,1.42
8810.00,1.42
8809.00,1.42
8808.00,1.42
8807.00,1.42
8806.00,1.41
8805.00,1.41
